n1	text	pos	n2	itext
4081	angry	aj0	1086	NULL
2136	like	aj0	1081	NULL
5884	german	aj0	1077	NULL
2197	generous	aj0	1076	NULL
3331	dependent	aj0	1076	NULL
2230	modest	aj0	1074	NULL
4469	northern	aj0	1073	NULL
2370	vulnerable	aj0	1073	NULL
2976	consistent	aj0	1070	NULL
2790	ideal	aj0	1066	NULL
2067	exact	aj0	1064	NULL
2742	brilliant	aj0	1064	NULL
3920	negative	aj0	1064	NULL
2921	nervous	aj0	1062	NULL
3177	widespread	aj0	1061	NULL
4307	southern	aj0	1060	NULL
2223	outside	aj0	1059	NULL
2577	evident	aj0	1058	NULL
3853	front	aj0	1057	NULL
2774	tough	aj0	1056	NULL
1975	uncertain	aj0	1056	NULL
1977	reluctant	aj0	1055	NULL
1989	firm	aj0	1055	NULL
2549	pleasant	aj0	1053	NULL
4623	secondary	aj0	1053	NULL
1969	steady	aj0	1051	NULL
2663	round	aj0	1042	NULL
2058	unexpected	aj0	1041	NULL
2263	inadequate	aj0	1040	NULL
2330	honest	aj0	1038	NULL
2824	gentle	aj0	1037	NULL
1803	unnecessary	aj0	1037	NULL
2042	urgent	aj0	1037	NULL
3328	yellow	aj0	1034	NULL
2518	mere	aj0	1032	NULL
4100	eastern	aj0	1030	NULL
2791	smooth	aj0	1025	NULL
2355	raw	aj0	1025	NULL
2225	cheap	aj0	1025	NULL
2479	continuous	aj0	1023	NULL
2996	thick	aj0	1022	NULL
3364	wooden	aj0	1016	NULL
3057	tired	aj0	1014	NULL
2407	desperate	aj0	1011	NULL
3542	glad	aj0	1009	NULL
2663	violent	aj0	1008	NULL
6460	cultural	aj0	1008	NULL
6176	primary	aj0	1006	NULL
2176	reliable	aj0	1005	NULL
3642	brown	aj0	1000	NULL
2083	satisfactory	aj0	992	NULL
3134	proposed	aj0	992	NULL
1961	strict	aj0	992	NULL
4119	italian	aj0	990	NULL
2115	curious	aj0	987	NULL
3490	competitive	aj0	987	NULL
2837	advanced	aj0	985	NULL
1926	convenient	aj0	985	NULL
3466	emotional	aj0	985	NULL
1891	sheer	aj0	983	NULL
3873	lovely	aj0	982	NULL
4305	academic	aj0	980	NULL
1838	encouraging	aj0	976	NULL
1844	nearest	ajs	974	NULL
2052	sole	aj0	973	NULL
2760	electric	aj0	972	NULL
2651	middle	aj0	968	NULL
2152	mutual	aj0	967	NULL
6737	sexual	aj0	960	NULL
2193	broken	aj0	960	NULL
2675	wet	aj0	958	NULL
1813	tight	aj0	957	NULL
5529	educational	aj0	957	NULL
7558	environmental	aj0	955	NULL
2156	bitter	aj0	955	NULL
5962	rural	aj0	955	NULL
2051	desirable	aj0	953	NULL
2138	blind	aj0	952	NULL
2563	universal	aj0	951	NULL
2061	known	aj0	950	NULL
2493	grateful	aj0	948	NULL
2455	maximum	aj0	943	NULL
2917	sweet	aj0	939	NULL
1867	welcome	aj0	937	NULL
3406	married	aj0	937	NULL
2299	dirty	aj0	933	NULL
3543	voluntary	aj0	932	NULL
4491	united	aj0	932	NULL
1828	straightforward	aj0	931	NULL
2275	flexible	aj0	930	NULL
2263	extraordinary	aj0	929	NULL
2281	far	aj0	929	NULL
2007	increasing	aj0	927	NULL
2647	principal	aj0	927	NULL
1986	exclusive	aj0	925	NULL
2787	mad	aj0	925	NULL
2219	bare	aj0	923	NULL
4693	elderly	aj0	922	NULL
1755	wise	aj0	921	NULL
1495	unlike	aj0	916	NULL
1730	lost	aj0	915	NULL
1747	lesser	aj0	915	NULL
4231	contemporary	aj0	912	NULL
5607	christian	aj0	910	NULL
2043	automatic	aj0	910	NULL
3453	pale	aj0	903	NULL
1726	superior	aj0	902	NULL
1981	clever	aj0	900	NULL
2128	identical	aj0	899	NULL
2464	live	aj0	896	NULL
3497	administrative	aj0	894	NULL
1687	secure	aj0	894	NULL
1714	delicate	aj0	893	NULL
1816	unhappy	aj0	891	NULL
1734	realistic	aj0	888	NULL
2528	fixed	aj0	885	NULL
2008	everyday	aj0	884	NULL
1864	fast	aj0	882	NULL
2776	given	aj0	882	NULL
1830	established	aj0	874	NULL
1506	well-known	aj0	873	NULL
2997	dominant	aj0	871	NULL
2553	junior	aj0	871	NULL
6329	male	aj0	870	NULL
1859	cheaper	ajc	869	NULL
1818	artificial	aj0	867	NULL
1584	shorter	ajc	867	NULL
1493	ambitious	aj0	866	NULL
1607	spare	aj0	865	NULL
3300	indian	aj0	865	NULL
1761	intelligent	aj0	865	NULL
2336	multiple	aj0	865	NULL
1474	running	aj0	863	NULL
2881	written	aj0	863	NULL
1701	excessive	aj0	861	NULL
1463	demanding	aj0	860	NULL
1691	dull	aj0	859	NULL
1996	sick	aj0	858	NULL
1599	mixed	aj0	858	NULL
1449	lacking	aj0	855	NULL
1552	forthcoming	aj0	855	NULL
1871	spectacular	aj0	850	NULL
1815	painful	aj0	849	NULL
2157	valid	aj0	849	NULL
2130	distinctive	aj0	847	NULL
4120	female	aj0	845	NULL
4446	corporate	aj0	845	NULL
4831	irish	aj0	845	NULL
2819	funny	aj0	844	NULL
1718	lowest	ajs	842	NULL
1846	earliest	ajs	841	NULL
1796	pleased	aj0	841	NULL
1681	exceptional	aj0	840	NULL
1754	subtle	aj0	839	NULL
5078	urban	aj0	838	NULL
1664	neat	aj0	838	NULL
2207	logical	aj0	837	NULL
1624	loose	aj0	832	NULL
1569	endless	aj0	832	NULL
1340	enthusiastic	aj0	832	NULL
1672	experienced	aj0	828	NULL
2645	mean	aj0	828	NULL
2286	outer	aj0	828	NULL
1430	vague	aj0	825	NULL
1324	worthy	aj0	825	NULL
2030	controversial	aj0	825	NULL
1725	precious	aj0	823	NULL
3045	spanish	aj0	820	NULL
1569	faster	ajc	819	NULL
1848	ill	aj0	818	NULL
1865	innocent	aj0	816	NULL
2026	awful	aj0	815	NULL
1686	casual	aj0	814	NULL
1608	hostile	aj0	811	NULL
3351	electronic	aj0	808	NULL
4895	russian	aj0	808	NULL
4408	criminal	aj0	807	NULL
1381	sympathetic	aj0	806	NULL
1599	fascinating	aj0	805	NULL
1451	definite	aj0	805	NULL
1821	influential	aj0	803	NULL
1785	elegant	aj0	802	NULL
4921	liberal	aj0	802	NULL
1502	harsh	aj0	801	NULL
1461	absent	aj0	801	NULL
1782	aggressive	aj0	801	NULL
3741	japanese	aj0	800	NULL
1634	nearby	aj0	799	NULL
2318	informal	aj0	799	NULL
3175	classical	aj0	797	NULL
1353	harder	ajc	796	NULL
2486	radical	aj0	796	NULL
1626	straight	aj0	796	NULL
1837	successive	aj0	795	NULL
5064	ltd	aj0	791	NULL
1413	eager	aj0	790	NULL
1517	continued	aj0	790	NULL
1625	tremendous	aj0	789	NULL
1655	marked	aj0	789	NULL
1569	notable	aj0	788	NULL
1981	secret	aj0	788	NULL
1407	rigid	aj0	785	NULL
1303	moving	aj0	784	NULL
1330	deeper	ajc	782	NULL
1600	accessible	aj0	781	NULL
2088	related	aj0	781	NULL
3749	african	aj0	780	NULL
1544	fierce	aj0	779	NULL
1614	classic	aj0	778	NULL
3520	global	aj0	777	NULL
1830	comparable	aj0	774	NULL
1953	magnificent	aj0	773	NULL
2380	stupid	aj0	773	NULL
1421	combined	aj0	771	NULL
1498	brave	aj0	771	NULL
1306	deliberate	aj0	771	NULL
1724	partial	aj0	770	NULL
2089	specialist	aj0	767	NULL
2143	silly	aj0	766	NULL
1527	flat	aj0	765	NULL
2265	victorian	aj0	764	NULL
2368	creative	aj0	763	NULL
1785	unfair	aj0	762	NULL
2321	illegal	aj0	760	NULL
1442	favourable	aj0	760	NULL
1502	favourite	aj0	760	NULL
2293	pink	aj0	760	NULL
1333	minimal	aj0	759	NULL
2694	strategic	aj0	758	NULL
10255	labour	aj0	755	NULL
3225	visual	aj0	755	NULL
2259	acute	aj0	755	NULL
2184	asleep	aj0	753	NULL
1396	oldest	ajs	753	NULL
2675	psychological	aj0	752	NULL
1633	splendid	aj0	752	NULL
1807	worried	aj0	751	NULL
1310	irrelevant	aj0	749	NULL
2854	moral	aj0	748	NULL
1547	amazing	aj0	748	NULL
1809	developing	aj0	748	NULL
1875	mechanical	aj0	746	NULL
1720	stable	aj0	746	NULL
2022	historic	aj0	745	NULL
1383	immense	aj0	744	NULL
1301	uncomfortable	aj0	742	NULL
1715	intensive	aj0	742	NULL
2261	underlying	aj0	741	NULL
1722	romantic	aj0	741	NULL
1654	hungry	aj0	741	NULL
2687	bloody	aj0	741	NULL
1397	profound	aj0	740	NULL
1535	prominent	aj0	739	NULL
1183	fortunate	aj0	737	NULL
1783	cool	aj0	736	NULL
1414	lively	aj0	736	NULL
1139	added	aj0	734	NULL
3291	supreme	aj0	734	NULL
1475	weekly	aj0	731	NULL
1156	content	aj0	731	NULL
1176	complicated	aj0	730	NULL
1330	peculiar	aj0	729	NULL
1571	decent	aj0	728	NULL
1968	naked	aj0	727	NULL
1469	nasty	aj0	727	NULL
1212	extended	aj0	725	NULL
1348	fit	aj0	722	NULL
1696	lonely	aj0	722	NULL
7583	nuclear	aj0	721	NULL
1726	finest	ajs	720	NULL
1586	peaceful	aj0	719	NULL
1191	closed	aj0	718	NULL
1440	improved	aj0	717	NULL
1199	respective	aj0	717	NULL
1172	coming	aj0	713	NULL
1212	doubtful	aj0	711	NULL
1150	unaware	aj0	711	NULL
1495	mature	aj0	709	NULL
1304	diverse	aj0	709	NULL
1945	minimum	aj0	708	NULL
3456	conservative	aj0	706	NULL
1932	gross	aj0	706	NULL
2408	dear	aj0	705	NULL
1535	ridiculous	aj0	705	NULL
1324	resulting	aj0	704	NULL
1317	mysterious	aj0	704	NULL
2212	australian	aj0	704	NULL
1616	handsome	aj0	703	NULL
1129	lengthy	aj0	703	NULL
1361	mild	aj0	701	NULL
1997	mass	aj0	701	NULL
1305	insufficient	aj0	700	NULL
1087	cautious	aj0	699	NULL
1191	awkward	aj0	698	NULL
1308	elaborate	aj0	698	NULL
1540	square	aj0	697	NULL
1312	fatal	aj0	696	NULL
2744	holy	aj0	695	NULL
1184	useless	aj0	695	NULL
1310	suspicious	aj0	695	NULL
1091	disastrous	aj0	694	NULL
1255	unpleasant	aj0	692	NULL
1476	marvellous	aj0	692	NULL
1117	convincing	aj0	691	NULL
1077	thorough	aj0	689	NULL
1195	bold	aj0	688	NULL
1378	shared	aj0	687	NULL
1815	above	aj0	686	NULL
1186	hidden	aj0	686	NULL
2241	overseas	aj0	686	NULL
1539	neutral	aj0	682	NULL
1183	old-fashioned	aj0	681	NULL
1584	expected	aj0	679	NULL
1353	broader	ajc	673	NULL
1307	smart	aj0	673	NULL
3161	welsh	aj0	671	NULL
2057	electrical	aj0	667	NULL
1217	invisible	aj0	667	NULL
1225	intact	aj0	666	NULL
1303	profitable	aj0	664	NULL
1242	protective	aj0	662	NULL
1242	plain	aj0	661	NULL
988	unwilling	aj0	661	NULL
1202	crude	aj0	660	NULL
1845	explicit	aj0	660	NULL
2019	pregnant	aj0	659	NULL
1135	optimistic	aj0	659	NULL
2186	liable	aj0	658	NULL
986	strongest	ajs	658	NULL
1473	dynamic	aj0	658	NULL
1226	persistent	aj0	656	NULL
1468	supposed	aj0	655	NULL
1059	formidable	aj0	655	NULL
1290	inherent	aj0	654	NULL
1976	superb	aj0	653	NULL
1630	progressive	aj0	652	NULL
1291	wealthy	aj0	650	NULL
1252	ugly	aj0	650	NULL
1291	cruel	aj0	647	NULL
5749	democratic	aj0	645	NULL
1110	fashionable	aj0	642	NULL
1215	inappropriate	aj0	641	NULL
1178	fellow	aj0	640	NULL
1063	worthwhile	aj0	639	NULL
1489	damp	aj0	638	NULL
1023	chosen	aj0	638	NULL
4199	parliamentary	aj0	637	NULL
1345	charming	aj0	636	NULL
2246	rational	aj0	635	NULL
1193	probable	aj0	634	NULL
1197	coloured	aj0	634	NULL
1252	planned	aj0	633	NULL
1366	shallow	aj0	633	NULL
1177	competent	aj0	631	NULL
1500	legitimate	aj0	631	NULL
1076	intimate	aj0	631	NULL
1155	unacceptable	aj0	631	NULL
2688	musical	aj0	630	NULL
1002	smallest	ajs	630	NULL
1315	beneficial	aj0	630	NULL
2976	theoretical	aj0	629	NULL
1658	systematic	aj0	628	NULL
2206	spiritual	aj0	628	NULL
2495	unemployed	aj0	627	NULL
1278	loyal	aj0	626	NULL
2288	experimental	aj0	625	NULL
1394	equivalent	aj0	625	NULL
1924	retail	aj0	624	NULL
1036	gradual	aj0	621	NULL
1088	costly	aj0	621	NULL
1758	dutch	aj0	620	NULL
1090	boring	aj0	618	NULL
1185	respectable	aj0	618	NULL
2114	revolutionary	aj0	617	NULL
1597	compulsory	aj0	617	NULL
1588	crazy	aj0	616	NULL
1015	eventual	aj0	616	NULL
1554	intellectual	aj0	616	NULL
1340	native	aj0	616	NULL
1116	cheerful	aj0	615	NULL
2641	roman	aj0	615	NULL
964	vigorous	aj0	615	NULL
933	determined	aj0	615	NULL
913	unfortunate	aj0	614	NULL
1302	required	aj0	612	NULL
1052	burning	aj0	609	NULL
1174	blank	aj0	608	NULL
1267	dreadful	aj0	605	NULL
1132	fond	aj0	603	NULL
3562	statutory	aj0	603	NULL
843	clearer	ajc	603	NULL
1734	full-time	aj0	602	NULL
1211	decisive	aj0	600	NULL
998	vivid	aj0	600	NULL
1111	polite	aj0	599	NULL
1088	concrete	aj0	597	NULL
1189	reduced	aj0	596	NULL
3350	literary	aj0	595	NULL
1647	random	aj0	594	NULL
1065	incredible	aj0	593	NULL
1168	tragic	aj0	592	NULL
963	uneasy	aj0	590	NULL
1235	defensive	aj0	590	NULL
1077	colourful	aj0	589	NULL
938	unsuccessful	aj0	588	NULL
1615	technological	aj0	588	NULL
1560	geographical	aj0	587	NULL
1092	miserable	aj0	586	NULL
1039	exotic	aj0	585	NULL
902	viable	aj0	585	NULL
1025	distinguished	aj0	583	NULL
1242	furious	aj0	582	NULL
1032	glorious	aj0	582	NULL
1403	fat	aj0	581	NULL
1529	alleged	aj0	580	NULL
1167	continuing	aj0	579	NULL
1245	monthly	aj0	579	NULL
1583	operational	aj0	579	NULL
