n1	text	pos	n2	itext
4948	created	vvn	1601	NULL
4279	placed	vvn	1599	NULL
4701	deal	vvi	1594	NULL
7215	talking	vvg	1594	NULL
5105	improve	vvi	1591	NULL
5930	started	vvd	1586	NULL
4896	seeing	vvg	1586	NULL
4931	live	vvb	1585	NULL
4956	living	vvg	1584	NULL
4659	forced	vvn	1582	NULL
4550	form	vvi	1581	NULL
16711	asked	vvd	1581	NULL
3820	started	vvn	1577	NULL
7710	talk	vvi	1573	NULL
4193	beginning	vvg	1573	NULL
7359	let	vvi	1572	NULL
6157	speak	vvi	1569	NULL
5167	read	vvi	1566	NULL
4400	decide	vvi	1564	NULL
3607	pass	vvi	1560	NULL
4097	accepted	vvn	1559	NULL
4245	act	vvi	1558	NULL
3840	raised	vvn	1557	NULL
4389	happens	vvz	1548	NULL
6489	remained	vvd	1544	NULL
5300	increasing	vvg	1544	NULL
4631	providing	vvg	1543	NULL
4186	begun	vvn	1542	NULL
3566	allowing	vvg	1540	NULL
3606	tried	vvn	1533	NULL
7812	mean	vvb	1530	NULL
3601	draw	vvi	1525	NULL
4406	appear	vvb	1523	NULL
4316	protect	vvi	1521	NULL
5343	decided	vvd	1517	NULL
3581	open	vvi	1514	NULL
7167	remember	vvb	1512	NULL
3789	added	vvn	1512	NULL
3898	choose	vvi	1512	NULL
4277	maintain	vvi	1511	NULL
5516	regarded	vvn	1507	NULL
3749	cut	vvn	1506	NULL
3899	covered	vvn	1505	NULL
6599	suggests	vvz	1503	NULL
4279	dealing	vvg	1502	NULL
5475	increase	vvi	1499	NULL
3985	work	vvb	1499	NULL
5168	apply	vvi	1497	NULL
4030	suggest	vvi	1495	NULL
4711	treated	vvn	1493	NULL
3254	setting	vvg	1490	NULL
9176	died	vvd	1488	NULL
3500	offering	vvg	1488	NULL
3758	intended	vvn	1487	NULL
20155	looked	vvd	1482	NULL
3644	used	vvd	1481	NULL
5177	ask	vvb	1481	NULL
4360	grew	vvd	1477	NULL
3977	speaking	vvg	1475	NULL
6027	like	vvb	1474	NULL
4560	establish	vvi	1474	NULL
4062	save	vvi	1473	NULL
6737	lay	vvd	1472	NULL
3687	remain	vvb	1471	NULL
4718	agreed	vvn	1466	NULL
4187	send	vvi	1463	NULL
6927	tell	vvb	1461	NULL
4300	affected	vvn	1457	NULL
3776	replaced	vvn	1455	NULL
4008	presented	vvn	1455	NULL
10756	turned	vvd	1453	NULL
3594	end	vvi	1453	NULL
5616	reduce	vvi	1448	NULL
4222	knowing	vvg	1447	NULL
3356	serve	vvi	1446	NULL
5712	compared	vvn	1444	NULL
3406	enter	vvi	1442	NULL
4549	included	vvn	1442	NULL
4267	suggested	vvn	1440	NULL
4180	discuss	vvi	1438	NULL
3881	continues	vvz	1437	NULL
4073	reduced	vvn	1436	NULL
4768	needed	vvd	1431	NULL
3215	falling	vvg	1430	NULL
5015	sell	vvi	1429	NULL
4864	happened	vvn	1428	NULL
3799	agree	vvi	1426	NULL
6558	tried	vvd	1423	NULL
6508	spoke	vvd	1422	NULL
3803	worked	vvd	1419	NULL
3839	brought	vvd	1419	NULL
4834	met	vvd	1418	NULL
4311	wait	vvi	1417	NULL
2884	changing	vvg	1416	NULL
4149	involving	vvg	1416	NULL
3820	led	vvd	1416	NULL
3535	completed	vvn	1415	NULL
3361	facing	vvg	1414	NULL
5553	held	vvd	1414	NULL
3360	seeking	vvg	1408	NULL
3072	bring	vvb	1408	NULL
2933	helped	vvn	1407	NULL
3756	encourage	vvi	1405	NULL
3613	afford	vvi	1403	NULL
3889	face	vvi	1398	NULL
4243	sold	vvn	1398	NULL
3013	share	vvi	1397	NULL
4249	depends	vvz	1397	NULL
10121	stood	vvd	1395	NULL
3024	proved	vvn	1393	NULL
3790	appeared	vvd	1393	NULL
